Day,Time,Room,Course Code,Course Title,Faculty,Session Type,Branch
Monday,09:00-10:00,C304,CS206,Theory of Computation,Dr. Pavan/ Dr. Sunil C K,Lecture,CSE
Monday,09:00-10:00,C305,HS204,Economics,Dr.Anushree K,Lecture,ECE
Monday,09:00-10:00,C104,DS356,Medical Image Analysis,Dr. Girish GN,Lecture,CSE
Monday,10:00-11:00,C002,CS455,Blockchain Technology,Dr. Rajendra H,Lecture,CSE
Monday,10:00-11:00,C004,CS462,Computer Graphics,Dr. Vivekraj V K,Lecture,CSE
Monday,10:00-11:00,C302, HS161,English Language and Communication,Dr. Rajesh N S,Lecture,DSAI
Monday,10:00-11:00,C303,CS163,Data Structures and Algorithms,Dr. Prabhu Prasad,Lecture,ECE
Monday,10:00-11:00,C305,MA202,Linear Algebra,Dr. Anand Barangi,Lecture,CSE
Monday,10:00-11:00,C202,EC362,Automotive Embedded and Multimedia Systems,Mr. Jagadeesh K                                              (Dr Sibasankar Padhy),Lecture,CSE
Monday,10:00-11:00,L106,CS310,Database Management System,Dr. Shirshendu and Dr. Utkarsh Khaire,Practical,DSAI
Monday,10:00-11:00,L206, CS164,Computer Architecture,Dr. Manjunath,Practical,DSAI
Monday,11:00-12:00,C003,HS204 / HS153,Economics/ Innovation and Entrepreneurship,Dr. Anushree Kini/ Dr.Deepak k T/,Lecture,CSE
Monday,11:00-12:00,C302, HS161,English Language and Communication,Dr. Rajesh N S,Lecture,DSAI
Monday,11:00-12:00,C304,ASD351,Design Thinking and Innovation,Dr. Sandesh P,Lecture,ECE
Monday,11:00-12:00,C305,CS310,Database Management System,Dr. Shirshendu and Dr. Utkarsh Khaire,Lecture,DSAI
Monday,11:00-12:00,C101,CS471,Deep Computer Vision,Chinmayanand,Tutorial,CSE
Monday,11:00-12:00,C104,EC204,Analog and Digital Communication,Dr. Somen Bhattacharjee / Dr. Jagadish D N (Lab),Lecture,ECE
