Day,Time,Room,Course Code,Course Title,Faculty,Session Type,Branch
Monday,09:00-10:00,C002,DS355,Data Analytics and Visualization,Dr. Sunil CK,Lecture,CSE
Monday,09:00-10:00,C003,CS162,Optimization,Dr. Dibyajyoti Guha,Lecture,DSAI
Monday,09:00-10:00,C305,EC307,Wireless Communication,Dr. Rajib Sharma/ Dr. Rao (Lab),Lecture,ECE
Monday,09:00-10:00,C102,EC310,Embedded Systems Design,Dr. Prakash Pawar,Tutorial,ECE
Monday,09:00-10:00,C104,CS455,Blockchain Technology,Dr. Rajendra H,Lecture,DSAI
Monday,10:00-11:00,C003,CS162,Optimization,Dr. Dibyajyoti Guha,Tutorial,DSAI
Monday,10:00-11:00,C303,CS307,Machine Learning,Dr. Deepak K T,Lecture,ECE
Monday,10:00-11:00,C206,DS309,Cloud Computing,Dr. Animesh Chaturvedi,Lecture,DSAI
Monday,10:00-11:00,C101, CS164,Computer Architecture,Dr. Manjunath,Lecture,DSAI
Monday,10:00-11:00,L106, CS163,Data Structures and Algorithms,Dr. Sunil Saumya,Practical,DSAI
Monday,10:00-11:00,L206,CS310,Database Management System,Dr. Shirshendu and Dr. Utkarsh Khaire,Practical,DSAI
Monday,11:00-12:00,C002,HS161,English Language and Communication,Dr. Rajesh N S,Lecture,ECE
Monday,11:00-12:00,C302,DS164,Data Curation Techniques,Dr. Siddharth R.,Lecture,DSAI
Monday,11:00-12:00,C303,CS301,Software Engineering,Dr. Vivekraj V K/ Dr. Sunil Kumar P V,Tutorial,CSE
Monday,11:00-12:00,C305,DS358,Deep Speech Processing,Prof. SRM Prasanna,Lecture,ECE
Monday,11:00-12:00,C206,HS205,Ethics,Dr. Jolly Thomas,Lecture,ECE
Monday,11:00-12:00,C101,CS458,Natural Language Processing,Dr. Krishnendu,Lecture,ECE
Monday,11:00-12:00,C102,EC310,Embedded Systems Design,Dr. Prakash Pawar,Lecture,ECE
Monday,11:00-12:00,L106,DS204,Software Engineering and Services,Dr. Animesh Chaturvedi,Practical,DSAI
Monday,12:00-13:00,C002,ASD351,Design Thinking and Innovation,Dr. Sandesh P,Tutorial,ECE
Monday,12:00-13:00,C003,EC451,Microwave Engineering,Dr. Somen,Lecture,CSE
Monday,12:00-13:00,C204, CS164,Computer Architecture,Dr. Manjunath,Lecture,DSAI
Monday,12:00-13:00,C302,EC162,Network Analysis,Dr. Sibasankar Padhy,Tutorial,ECE
Monday,12:00-13:00,C303,DS357,Large Languange Models,Dr. Sunil S,Lecture,DSAI
Monday,12:00-13:00,C101,CS464,Deep Learning for Computer Vision ,Dr. Chinmayanand,Lecture,ECE
Monday,12:00-13:00,L206,DS164,Data Curation Techniques,Dr. Siddharth R.,Practical,DSAI
Monday,13:00-14:00,,,Lunch Break,,Break,
Monday,14:00-15:00,C002, CS163,Data Structures and Algorithms,Dr. Sunil Saumya,Lecture,DSAI
Monday,14:00-15:00,C003,CS462,Computer Graphics,Dr. Vivekraj V K,Tutorial,CSE
Monday,14:00-15:00,C004,PH352,Quantum Communication,Dr. Aswath B,Lecture,DSAI
Monday,14:00-15:00,C302,EC162,Network Analysis,Dr. Sibasankar Padhy,Lecture,ECE
Monday,14:00-15:00,C101,CS464,Deep Learning for Computer Vision ,Dr. Chinmayanand,Lecture,ECE
Monday,14:00-15:00,L206,CS310,Database Management System,Dr. Shirshendu and Dr. Utkarsh Khaire,Practical,DSAI
Monday,15:00-16:00,C003,EC451,Microwave Engineering,Dr. Somen,Lecture,CSE
Monday,15:00-16:00,C204,CS365,Model Checking,Dr. Pavan,Lecture,CSE
Monday,15:00-16:00,C303,CS307,Machine Learning,Dr. Deepak K T,Lecture,ECE
Monday,15:00-16:00,C206,CS310,Database Management System,Dr. Shirshendu and Dr. Utkarsh Khaire,Lecture,DSAI
Monday,15:00-16:00,C101,HS204,Economics,Dr.Anushree K,Tutorial,ECE
Monday,15:00-16:00,L206,EC204,Analog and Digital Communication,Dr. Somen Bhattacharjee / Dr. Jagadish D N (Lab),Practical,ECE
Monday,16:00-17:00,C003,CS462,Computer Graphics,Dr. Vivekraj V K,Lecture,CSE
Monday,16:00-17:00,C203,DS204,Software Engineering and Services,Dr. Animesh Chaturvedi,Lecture,DSAI
Monday,16:00-17:00,C101,CS458,Natural Language Processing,Dr. Krishnendu,Lecture,ECE
Monday,16:00-17:00,C102,HS206,Industrial Social Psychology,Dr. Navyashree,Lecture,DSAI
Monday,16:00-17:00,C104,EC362,Automotive Embedded and Multimedia Systems,Mr. Jagadeesh K                                              (Dr Sibasankar Padhy),Lecture,CSE
Monday,16:00-17:00,L106, CS163,Data Structures and Algorithms,Dr. Sunil Saumya,Practical,DSAI
Monday,16:00-17:00,L206,CS164,Computer Architecture,Dr.Jagadish D N,Practical,ECE
Monday,17:00-17:30,,,Snack Break,,Break,
Tuesday,09:00-10:00,C002,MA163,Linear Algebra,Dr. Sibasankar Padhy/ Dr Somen Bhattacharjee,Lecture,CSE
Tuesday,09:00-10:00,C004,PH352,Quantum Communication,Dr. Aswath B,Lecture,DSAI
Tuesday,09:00-10:00,C303,HS204 / HS153,Economics/ Innovation and Entrepreneurship,Dr. Anushree Kini/ Dr.Deepak k T/,Tutorial,CSE
Tuesday,09:00-10:00,C101,CS464,Deep Learning for Computer Vision ,Dr. Chinmayanand,Tutorial,ECE
Tuesday,09:00-10:00,C104, HS161,English Language and Communication,Dr. Rajesh N S,Lecture,DSAI
Tuesday,09:00-10:00,L206,CS164,Computer Architecture,Dr.Jagadish D N,Practical,ECE
Tuesday,10:00-11:00,C002,DS355,Data Analytics and Visualization,Dr. Sunil CK,Tutorial,CSE
